graphNo, Vertex-Num, radius, diameter, entropy
43559, 17, 4, 7, 4.05441
43560, 17, 4, 8, 4.05133
43561, 17, 5, 10, 4.0513
43562, 17, 5, 10, 4.05656
43563, 17, 4, 8, 4.05411
43564, 17, 4, 7, 4.05365
43565, 17, 5, 10, 4.04702
43566, 17, 5, 9, 4.04817
43567, 17, 4, 8, 4.05193
43568, 17, 4, 7, 4.0556
43569, 17, 5, 9, 4.04924
43570, 17, 5, 10, 4.04968
43571, 17, 5, 9, 4.05191
43572, 17, 6, 11, 4.04867
43573, 17, 5, 10, 4.04943
43574, 17, 5, 9, 4.05201
43575, 17, 6, 11, 4.04805
43576, 17, 5, 9, 4.05062
43577, 17, 4, 8, 4.05371
43578, 17, 5, 10, 4.04864
43579, 17, 5, 9, 4.04944
43580, 17, 4, 8, 4.05292
43581, 17, 5, 10, 4.04708
43582, 17, 5, 9, 4.05287
43583, 17, 4, 8, 4.0564
43584, 17, 5, 10, 4.05
43585, 17, 5, 10, 4.05352
43586, 17, 5, 9, 4.05651
43587, 17, 6, 11, 4.05116
43588, 17, 5, 10, 4.05518
43589, 17, 5, 9, 4.05802
43590, 17, 6, 11, 4.05288
43591, 17, 4, 8, 4.05455
43592, 17, 5, 10, 4.04787
43593, 17, 5, 10, 4.06379
43594, 17, 5, 10, 4.05106
43595, 17, 4, 8, 4.05963
43596, 17, 4, 8, 4.05207
43597, 17, 6, 11, 4.05206
43598, 17, 6, 11, 4.06357
43599, 17, 6, 11, 4.05327
43600, 17, 5, 9, 4.06242
43601, 17, 4, 8, 4.05594
43602, 17, 5, 10, 4.04949
43603, 17, 5, 9, 4.05242
43604, 17, 4, 8, 4.05588
43605, 17, 5, 10, 4.04979
43606, 17, 5, 10, 4.05251
43607, 17, 5, 9, 4.05542
43608, 17, 6, 11, 4.05045
43609, 17, 5, 9, 4.05334
43610, 17, 4, 8, 4.05649
43611, 17, 5, 10, 4.051
43612, 17, 5, 10, 4.05351
43613, 17, 5, 9, 4.05618
43614, 17, 6, 11, 4.05168
43615, 17, 5, 9, 4.05086
43616, 17, 4, 8, 4.05464
43617, 17, 5, 10, 4.04798
43618, 17, 4, 8, 4.05175
